# lcdf-typetools texglyphlist.txt, Version 2.33
# Contents: Extensions to the Adobe Glyph List for TeX fonts and
# encodings. We also extend the second field so that it can contain
# multiple Unicode scalar values, separated by commas, analogous to
# otftotfm's "% UNICODING" comments.
###############################################################################
Delta;2206,0394
zdoublestruck;1D56B
Afraktur;1D504
Bfraktur;1D505
Cfraktur;212D
Dfraktur;1D507
Efraktur;1D508
Ffraktur;1D509
Gfraktur;1D50A
Hfraktur;210C
Jfraktur;1D50D
Kfraktur;1D50E
Lfraktur;1D50F
Mfraktur;1D510
Nfraktur;1D511
Ofraktur;1D512
Pfraktur;1D513
Qfraktur;1D514
Sfraktur;1D516
Tfraktur;1D517
Ufraktur;1D518
Vfraktur;1D519
Wfraktur;1D51A
Xfraktur;1D51B
Yfraktur;1D51C
Zfraktur;2128
afraktur;1D51E
bfraktur;1D51F
cfraktur;1D520
dfraktur;1D521
efraktur;1D522
ffraktur;1D523
gfraktur;1D524
hfraktur;1D525
ifraktur;1D526
jfraktur;1D527
kfraktur;1D528
lfraktur;1D529
mfraktur;1D52A
nfraktur;1D52B
ofraktur;1D52C
pfraktur;1D52D
qfraktur;1D52E
rfraktur;1D52F
sfraktur;1D530
tfraktur;1D531
ufraktur;1D532
vfraktur;1D533
wfraktur;1D534
xfraktur;1D535
yfraktur;1D536
zfraktur;1D537
Ascript;1D49C
Bscript;212C
Cscript;1D49E
Dscript;1D49F
Escript;2130
Fscript;2131
Gscript;1D4A2
Hscript;210B
Iscript;2110
Jscript;1D4A5
Kscript;1D4A6
Lscript;2112
Mscript;2133
Nscript;1D4A9
Oscript;1D4AA
Pscript;1D4AB
Qscript;1D4AC
Rscript;211B
Sscript;1D4AE
Tscript;1D4AF
Uscript;1D4B0
Vscript;1D4B1
Wscript;1D4B2
Xscript;1D4B3
Yscript;1D4B4
Zscript;1D4B5
ascript;1D4B6,0251
bscript;1D4B7
cscript;1D4B8
dscript;1D4B9
escript;212F
fscript;1D4BB
gscript;210A,0261
hscript;1D4BD
iscript;1D4BE
jscript;1D4BF
kscript;1D4C0
lscript;2113
mscript;1D4C2
nscript;1D4C3
oscript;2134
pscript;1D4C5
qscript;1D4C6
rscript;1D4C7
sscript;1D4C8
tscript;1D4C9
uscript;1D4CA
vscript;1D4CB
wscript;1D4CC
xscript;1D4CD
yscript;1D4CE
zscript;1D4CF
# -- Operator glyphs in STIX
anticlockwise;21BA
approxorequal;224A
arrowbothlong;27F7
arrowdblbothlong;27FA
arrowdblleftlong;27F8
arrowdblrightlong;27F9
arrowhookleft1;21A9
arrowhookright1;21AA
arrowleftdashed;21E0
arrowleftlong;27F5
arrowparrleftright;21C6
arrowparrrightleft;21C4
arrowrightdashed;21E2
arrowrightlong;27F6
arrowtailleft;21A2
arrowtailright;21A3
arrowtripleleft;21DA
arrowtripleright;21DB
arrowuprightofdown;21F5
beth;2136
bonddbl;E0C8
bowtie;22C8
bulletdashcircle;22B7
check;2713
circleasterisk;229B
circlecirc;229A
circledash;229D
circledashbullet;22B6
circledR;00AE,24C7
circledS;24C8
circleequal;2257
clockwise;21BB
clubopen;2667
colonequal;2254
composition;2218
curlyorfollows;22DF
curlyorprecedes;22DE
daleth;2138
dblarrowdown;21CA
dblarrowheadleft;219E
dblarrowheadright;21A0
dblarrowup;21C8
dblharpoondown;2965
dblharpoonup;2963
defines;225C
diamond1;25C7
digamma;03DC
dividemultiply;22C7
dotplus;2214
downfall;22CE
downslope;2572
emptysetstress;2205
equalcolon;2255
Finv;2132
followsequal1;2AB0
followsnotapproxeql;2ABA
followsnotdbleql;2AB6
followsorapproxeql;2AB8
followsornotsimilar;22E9
followsorsimilar;227F
forces;22A9
forcesbar;22AA
fork;22D4
gimel;2137
Gmir;2141
greaternotapproxeql;2A8A
greaternotequal;2A88
greaterorapproxeql;2A86
greaterornotdbleql;2269
harpoondownleft;21C3
harpoondownright;21C2
harpoonleftright;21CC
harpoonrightleft;21CB
harpoonupleft;21BF
harpoonupleftofdown;296E
harpoonupright;21BE
harpoonuprightofdown;296F
hatequal;2259
integerdivide;2216
intercal;22BA
intersectiondbl;22D2
lessnotapproxeql;2A89
lessnotequal;2A87
lessorapproxeql;2A85
lessornotdbleql;2268
lozengesolid;29EB
macronwider;0305
maltesecross;2720
mapsto1long;27FC
multicloseleft;22C9
multicloseright;22CA
multimap;22B8
multiopenleft;22CB
multiopenright;22CC
notarrowboth;21AE
notarrowleft;219A
notarrowright;219B
notbar;2224
notdblarrowboth;21CE
notdblarrowleft;21CD
notdblarrowright;21CF
notexistential;2204
notforces;22AE
notforcesextra;22AF
notsatisfies;22AD
notsubsetsqequal;22E2
notsupersetsqequal;22E3
nottriangeqlleft;22EC
nottriangeqlright;22ED
nottriangleleft;22EA
nottriangleright;22EB
notturnstile;22AC
Omegainv;2127
precedesequal1;2AAF
precedesnotapproxeql;2AB9
precedesnotdbleql;2AB5
precedesorapproxeql;2AB7
precedesornotsimilar;22E8
precedesorsimilar;227E
primereverse;2035
quadrupledot;20DC
revasymptequal;22CD
revsimilar;223D
ringinequal;2256
satisfies;22A8
shiftleft;21B0
shiftright;21B1
similararrow;2B47
spadeopen;2664
square;25A1
squaredot;22A1
squareimage;228F
squareminus;229F
squaremultiply;22A0
squareoriginal;2290
squareplus;229E
squaresolid;25A0
squiggleright;21DD
subsetnoteql;228A
subsetornoteql;2ACB
supersetnoteql;228B
supersetornoteql;2ACC
tie;2040
triangledown;25BF
triangledownsld;25BE
triangleleftequal;22B4
triangleleftsld;25C4,25C2
trianglerightequal;22B5
trianglerightsld;25BA,25B8
trianglesolid;25B4
triangleup;25B5
tripledot;20DB
uniondbl;22D3
uprise;22CF
upslope;2571
vartriangleleft;25C5,25C3,22B2
vartriangleright;25BB,25B9,22B3
Yen;00A5
